bill_id,centrality_score,proposed_tier,title,sponsor,introduced_date,policy_area,match_locations,summary_first_200,include (y/n),tier (A/B),notes
119-hr-1736,12.0,A,Generative AI Terrorism Risk Assessment Act,"Rep. Pfluger, August [R-TX-11] (R-TX)",2025-02-27,Armed Forces and National Security,"title:AI,generative ai;summary:artificial intelligence,AI,generative ai,generative artificial intelligence",Generative AI Terrorism Risk Assessment ActThis bill requires the Department of Homeland Security (DHS) to periodically provide Congress with an assessment of threats to the United States posed by the,,,
118-s-1993,10.0,A,A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.,"Sen. Hawley, Josh [R-MO] (R-MO)",2023-06-14,"Science, Technology, Communications","title:artificial intelligence,generative artificial intelligence;summary:artificial intelligence,generative artificial intelligence"," This bill limits federal liability protection, sometimes referred to as Section 230 protection, that generally precludes providers and users of an interactive computer service from being held legally",,,
119-hr-334,9.0,A,"To amend the Communications Act of 1934 to establish technical and procedural standards for artificial or prerecorded voice systems created through generative artificial intelligence, and for other pu","Rep. Allen, Rick W. [R-GA-12] (R-GA)",2025-01-13,"Science, Technology, Communications","title:artificial intelligence,generative artificial intelligence;summary:artificial intelligence",This bill provides statutory authority for the application of certain technical and procedural standards to systems that transmit artificial or prerecorded telephone messages generated using artificia,,,
118-hr-8939,8.0,A,"To amend the Communications Act of 1934 to establish technical and procedural standards for artificial or prerecorded voice systems created through generative artificial intelligence, and for other pu","Rep. Allen, Rick W. [R-GA-12] (R-GA)",2024-07-08,"Science, Technology, Communications","title:artificial intelligence,generative artificial intelligence",,,,
118-hr-7913,8.0,A,Generative AI Copyright Disclosure Act of 2024,"Rep. Schiff, Adam B. [D-CA-28] (D-CA)",2024-04-09,Commerce,"title:AI,generative ai",,,,
119-hr-3679,6.0,A,Small Business Artificial Intelligence Advancement Act,"Rep. Collins, Mike [R-GA-10] (R-GA)",2025-06-03,"Science, Technology, Communications","title:artificial intelligence;summary:artificial intelligence,AI",Small Business Artificial Intelligence Advancement ActThis bill directs the National Institute of Standards and Technology (NIST) to develop or identify&nbsp;resources for small businesses to address&,,,
119-hr-5784,6.0,A,AI–WISE Act,"Rep. Scholten, Hillary J. [D-MI-3] (D-MI)",2025-10-17,Commerce,"title:AI;summary:artificial intelligence,AI",Artificial Intelligence Wisdom for Innovative Small Enterprises Act or the AI–WISE ActThis bill requires the Small Business Administration (SBA) to establish and maintain educational resources and mod,,,
119-hr-5764,6.0,A,AI for Main Street Act,"Rep. Alford, Mark [R-MO-4] (R-MO)",2025-10-17,Commerce,"title:AI;summary:artificial intelligence,AI","AI for Main Street ActThis bill requires&nbsp;Small Business Development Centers to assist small businesses in evaluating artificial intelligence, including by providing best practices for using artif",,,
119-s-1213,6.0,A,Protect Elections from Deceptive AI Act,"Sen. Klobuchar, Amy [D-MN] (D-MN)",2025-03-31,Government Operations and Politics,"title:AI;summary:artificial intelligence,AI",Protect Elections from Deceptive AI ActThis bill prohibits the distribution of materially deceptive audio or visual media that is generated by artificial intelligence (AI) relating to federal candidat,,,
119-hr-2385,6.0,A,CREATE AI Act of 2025,"Rep. Obernolte, Jay [R-CA-23] (R-CA)",2025-03-26,"Science, Technology, Communications","title:AI;summary:artificial intelligence,AI","Creating Resources for Every American To Experiment with Artificial Intelligence Act of 2025 or the CREATE AI Act of 2025This bill establishes a national program to provide U.S. researchers, educators",,,
119-hr-1694,6.0,A,AI Accountability Act,"Rep. Harder, Josh [D-CA-9] (D-CA)",2025-02-27,"Science, Technology, Communications","title:AI;summary:artificial intelligence,AI",Artificial Intelligence Accountability Act or the AI Accountability ActThis bill requires the National Telecommunications and Information Administration (NTIA) to study and report on accountability me,,,
118-s-4664,6.0,A,Department of Energy AI Act,"Sen. Manchin, Joe, III [I-WV] (I-WV)",2024-07-10,Energy,"title:AI;summary:artificial intelligence,AI",Department of Energy AI ActThis bill establishes programs related to artificial intelligence (AI) research and security at the Department of Energy (DOE) and provides statutory authority for certain r,,,
118-s-2770,6.0,A,Protect Elections from Deceptive AI Act,"Sen. Klobuchar, Amy [D-MN] (D-MN)",2023-09-12,Government Operations and Politics,"title:AI;summary:artificial intelligence,AI",Protect Elections from Deceptive AI ActThis bill prohibits the distribution of materially deceptive audio or visual media that is generated by artificial intelligence (AI) relating to federal candidat,,,
118-hr-7781,6.0,A,AI PLAN Act,"Rep. Nunn, Zachary [R-IA-3] (R-IA)",2024-03-21,Finance and Financial Sector,"title:AI;summary:artificial intelligence,AI","Artificial Intelligence Practices, Logistics, Actions, and Necessities Act or the AI PLAN ActThis bill requires the Department of the Treasury, the Department of Homeland Security (DHS), and the Depar",,,
118-hr-7694,6.0,A,No AI Audits Act,"Rep. Higgins, Clay [R-LA-3] (R-LA)",2024-03-15,Taxation,"title:AI;summary:artificial intelligence,AI", No AI Audits Act   This bill prohibits the Internal Revenue Service (IRS) from conducting a taxpayer audit based upon the use of artificial intelligence (AI) unless it determines that such AI meets c,,,
118-s-3205,6.0,A,Federal Artificial Intelligence Risk Management Act of 2023,"Sen. Moran, Jerry [R-KS] (R-KS)",2023-11-02,Government Operations and Politics,"title:artificial intelligence;summary:artificial intelligence,AI", Federal Artificial Intelligence Risk Management Act of 2023 This bill directs federal agencies to use the Artificial Intelligence Risk Management Framework developed by the National Institute of Stan,,,
